RPTID,NAME,DATETIME_OF_INCIDENT,STATE,COUNTY,CITY,OFFSHORE,LAT_LONG_OFFSHORE,SYSTEM_INVOLVED,ITEM_INVOLVED,INSTALLATION_YEAR,CAUSE,CAUSE_DETAILS,PRPTY,COMM,TOTAL_BBLS,IGNITE_IND,EXPLODE_IND,PIPE_DIAMETER,MAX_OP_PRESSURE,PRESSURE_AT_TIME_INCIDENT,INCIDENT_AREA_TYPE,AREA_OF_CORROSION,CAUSE_OUTSIDE_FORCE,PREVENTATIVE,FATALITIES
19850161,MOBIL PIPELINE CO,19851104,KS,HARVEY, ,No, ,LINE PIPE,PIPE,1931,CORROSION,"CORROSION, INTERNAL",4100,CRUDE OIL,640,No,No,7,340,40,BELOW GROUND,INTERNAL,NO DATA,Null,0
19850162,MID - AMERICA PIPELINE CO (MAPCO),19851106,IA,CLINTON,LOW MOOR,No, ,NO DATA,VALVE,1973,OTHER,"1"" VALVE UNSCREWED",15840,L. P. G.,1980,No,No,10,1310,590,ABOVE GROUND,NO DATA,NO DATA,Null,0
19850163,WILLIAMS PIPELINE CO,19851021,IA,WOODBURY,SIOUX,No, ,LINE PIPE,PIPE,1967,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,1000,GASOLINE,531,No,No,6,1400,300,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Null,0
19850164,MID - AMERICA PIPELINE CO (MAPCO),19851104,TX,WINKLER,KERMIT,No, ,LINE PIPE,PIPE,1961,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,13323,NATURAL GAS LIQUID,1108,No,No,4,1100,940,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19850165,KANEB PIPELINE CO,19851107,KS,MCPHERSON, ,No, ,TANK FARM,TANK,1973,INCORRECT OPERATION BY OPERATOR PERSONNEL, ,200000,GASOLINE,1214,No,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
19850166,CHEVRON PIPELINE CO,19851126,TX,LIBERTY,DEVERS,No, ,LINE PIPE,PIPE,1930,CORROSION,"CORROSION, EXTERNAL",200,CRUDE OIL,3,No,No,8,929,35,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19850167,CHEVRON PIPELINE CO,19851011,TX,WARD, ,No, ,LINE PIPE,PIPE,1965,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,12000,L. P. G.,600,No,No,45,1440,600,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19850168,CHEVRON PIPELINE CO,19851016,TX,LIBERTY,HULL,No, ,NO DATA,PIPE,1945,CORROSION,"CORROSION, EXTERNAL",5000,CRUDE OIL,125,No,No,6,0,0,ABOVE GROUND,EXTERNAL,NO DATA,Null,0
19850169,PLANTATION PIPE LINE CO,19851123,GA,CARROLL,BREMEN,No, ,TANK FARM,NO DATA,1951,OTHER,"2"" PLUG NOT INSTALLED",14600,GASOLINE,1926,No,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
19850170,AMOCO PIPELINE CO,19851124,UT,SUMMIT, ,No, ,PUMPING STATION,PUMP,1985,OTHER,ONE-INCH DIAMETER PIPE,1200,CRUDE OIL,190,No,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
19850171,MID - AMERICA PIPELINE CO (MAPCO),19851201,WY,UINTA, ,No, ,LINE PIPE,NO DATA,1981,OTHER,DAMAGE BY OTHERS,31218,NATURAL GAS LIQUID,2600,No,No,6,1440,810,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19850172,SHAMROCK PIPELINE CORP,19851106,TX,LIPSCOMB, ,No, ,LINE PIPE,PIPE,1964,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,62512,CRUDE OIL,3337,No,No,6,1264,1200,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,No,0
19850173,SUN PIPELINE CO,19851126,TX,GREGG, ,No, ,LINE PIPE,PIPE,1949,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,800,CRUDE OIL,415,No,No,4,10,0,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,No,0
19850174,WILLIAMS PIPELINE CO,19851022,OK,OSAGE,AVANT,Yes,NE1/2 S28 T23N R12E,LINE PIPE,PIPE,1957,CORROSION,"CORROSION, EXTERNAL",0,"FERTITL.,AMMON.NITR.",1417,No,No,12,1150,861,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19850175,COLONIAL PIPELINE CO,19851108,VA,CHESTERFIELD, ,No, ,LINE PIPE,PIPE,1963,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,85700,FUEL OIL,2875,No,No,16,1170,1110,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,No,0
19860001,TEXACO TRADING & TRANSPORTATION INC,19851222,CA,MERCED, ,No, ,LINE PIPE,PIPE,1967,FAILED PIPE, ,43000,CRUDE OIL,12000,No,No,20,875,875,BELOW GROUND,NO DATA,NO DATA,Yes,0
19860002,KERR - MCGEE CORP,19851113,NM,SAN JUAN, ,No, ,LINE PIPE,PIPE,1967,OUTSIDE FORCE DAMAGE,DAMAGE BY OPERATOR OR ITS CONTRACTOR,1750,CRUDE OIL,901,No,No,8,700,700,BELOW GROUND,NO DATA,DAMAGE BY OPERATOR OR ITS CONTRACTOR,No,0
19860003,WYCO PIPE LINE CO,19860106,CO,EL PASO, ,No, ,LINE PIPE,PIPE,1966,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,57000,GASOLINE,1175,No,No,6,1440,800,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19860004,ARCO PIPE LINE CO,19851219,IL,LIVINGSTON, ,No, ,LINE PIPE,PIPE,1905,CORROSION,"CORROSION, EXTERNAL",0,GASOLINE,136,No,No,8,621,766,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19860005,SEMINOLE PIPELINE CO,19860113,TX,CONCHO, ,No, ,PUMPING STATION,NO DATA,1982,OTHER,PUMP SEAL,1500,NATURAL GAS LIQUID,50,Yes,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
19860006,EXXON PIPELINE CO,19851118,TX,ECTOR,ODESSA,No, ,LINE PIPE,PIPE,1957,CORROSION,"CORROSION, EXTERNAL",88000,CRUDE OIL,8000,No,No,18,930,550,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19860007,ARCO PIPE LINE CO,19851205,OK,SEMINOLE,EARLSBORO,No, ,LINE PIPE,PIPE,1925,CORROSION,"CORROSION, INTERNAL",1000,CRUDE OIL,100,No,No,8,450,100,BELOW GROUND,INTERNAL,NO DATA,Null,0
19860008,EXXON PIPELINE CO,19851204,TX,LIMESTONE, ,No, ,LINE PIPE,GIRTH,1936,OUTSIDE FORCE DAMAGE,DAMAGE BY NATURAL FORCES,50000,CRUDE OIL,100,No,No,10,640,0,BELOW GROUND,NO DATA,DAMAGE BY NATURAL FORCES,Null,0
19860009,FOUR CORNERS PIPELINE CO,19851212,CA,RIVERSIDE, ,No, ,LINE PIPE,OTHER,0,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,225000,CRUDE OIL,1000,No,No,0,0,0,NO DATA,NO DATA,DAMAGE BY OTHERS,Null,0
19860010,ARCO PIPE LINE CO,19851220,LA, , ,Yes,"X=2,760,143, Y=151,655",LINE PIPE,PIPE,1973,OTHER,OTHER,0,CRUDE OIL,3,No,No,6,1440,400,BELOW GROUND,NO DATA,OTHER,Yes,0
19860011,AMOCO PIPELINE CO,19851223,MO,LAFAYETTE, ,No, ,PUMPING STATION,PIPE,1957,FAILED PIPE,FROSTHEAVE,2000,CRUDE OIL,5,No,No,1,830,700,BELOW GROUND,NO DATA,FROSTHEAVE,Null,0
19860012,ARCO PIPE LINE CO,19851222,OK,CREEK,DRUMRIGHT,No, ,LINE PIPE,PIPE,1919,CORROSION,"CORROSION, INTERNAL",200,CRUDE OIL,175,No,No,12,0,25,BELOW GROUND,INTERNAL,NO DATA,Null,0
19860013,OLYMPIC PIPE LINE CO,19851224,WA,KING, ,No, ,TANK FARM,BOLTED FITTING,1970,OTHER,GASKET FITTING,10000,DIESEL FUEL,60,No,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
19860014,MOBIL PIPELINE CO,19851220,OK,GARVIN, ,No, ,LINE PIPE,PIPE,1927,CORROSION,"CORROSION, EXTERNAL",41000,CRUDE OIL,250,No,No,8,637,300,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19860015,WILLIAMS PIPELINE CO,19851223,KS,WYANDOTTE,KANSAS CITY,No, ,LINE PIPE,PIPE,1946,CORROSION,"CORROSION, EXTERNAL",45,GASOLINE,768,No,No,8,1150,1000,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19860016,TOTAL PIPELINE CORP,19851220,TX,WICHITA,BURKBURNETT,No, ,LINE PIPE,PIPE,1935,INCORRECT OPERATION BY OPERATOR PERSONNEL, ,500,CRUDE OIL,130,No,No,3,250,0,BELOW GROUND,NO DATA,NO DATA,Yes,0
19860017,AMOCO PIPELINE CO,19851219,OK,POTTAWATOMIE,SHAWNEE,No, ,LINE PIPE,OTHER,1918,FAILED PIPE,DAMAGE BY NATURAL FORCES,25000,CRUDE OIL,3950,No,No,6,790,540,BELOW GROUND,NO DATA,DAMAGE BY NATURAL FORCES,Null,0
19860018,AMOCO PIPELINE CO,19851203,TX,GALVESTON, ,No, ,LINE PIPE,PIPE,1943,FAILED PIPE, ,212000,L. P. G.,3500,No,No,6,550,246,BELOW GROUND,NO DATA,NO DATA,Null,0
19860027,MOBIL PIPELINE CO,19860130,TX,CALDWELL,LULING,No, ,TANK FARM,TANK,1963,CORROSION,"CORROSION, INTERNAL",0,CRUDE OIL,400,No,No,0,0,0,NO DATA,INTERNAL,NO DATA,Null,0
19860028,MOBIL PIPELINE CO,19860115,TX,JASPER, ,No, ,LINE PIPE,PIPE,1926,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,0,GASOLINE,164,No,No,0,0,0,NO DATA,NO DATA,DAMAGE BY OTHERS,Yes,0
19860029,SHELL PIPE LINE CORP,19860207,TX, , ,No, ,LINE PIPE,PIPE,1939,CORROSION,"CORROSION, EXTERNAL",0,CRUDE OIL,200,No,No,7,0,400,ABOVE GROUND,EXTERNAL,NO DATA,Null,0
19860030,SHELL PIPE LINE CORP,19860130,TX,FORT BEND,KATY,No, ,LINE PIPE,PIPE,1955,CORROSION,"CORROSION, INTERNAL",0,CRUDE OIL,3000,No,No,10,700,111,ABOVE GROUND,INTERNAL,NO DATA,Null,0
19860031,SUN PIPELINE CO,19860131,NJ,MERCER,WEST WINDSOR,No, ,LINE PIPE,PIPE,1956,OTHER,DAMAGE BY OTHERS,0,GASOLINE,3589,Yes,Yes,14,1200,1163,ABOVE GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19860032,PHILLIPS PIPE LINE CO,19860207,TX,HUTCHINSON, ,No, ,LINE PIPE,PIPE,1930,INCORRECT OPERATION BY OPERATOR PERSONNEL, ,0,CRUDE OIL,1300,No,No,8,1200,1245,ABOVE GROUND,NO DATA,NO DATA,Null,0
19860033,JAYHAWK PIPELINE CORP,19860130,KS,HASKELL, ,No, ,LINE PIPE,NO DATA,1958,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,0,CRUDE OIL,970,No,No,7,800,300,ABOVE GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19860034,WOOD RIVER PIPELINE CO,19860210,MN,DAKOTA,INVER GROVE HEIGHTS,No, ,LINE PIPE,GIRTH,1986,FAILED WELD, ,3000,CRUDE OIL,300,No,No,18,1440,250,ABOVE GROUND,NO DATA,NO DATA,Null,0
19860035,FOUR CORNERS PIPELINE CO,19860210,CA,KERN, ,No, ,LINE PIPE,PIPE,1924,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,50000,CRUDE OIL,500,No,No,10,540,260,ABOVE GROUND,NO DATA,DAMAGE BY OTHERS,Null,0
19860036,CONOCO INC,19860203,LA, , ,Yes,SHIP SHOAL BLOCK 113 1400,NO DATA,NO DATA,1972,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,45453,CRUDE OIL,119,No,No,7,1000,300,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Null,0
19860037,AMOCO PIPELINE CO,19860217,IL,WILL, ,No, ,TANK FARM,PIPE,1936,INCORRECT OPERATION BY OPERATOR PERSONNEL,CRAKED PUMP CASE,4000,CRUDE OIL,2220,No,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
19860038,ASHLAND PIPELINE CO,19860227,IN,SPENCER, ,No, ,LINE PIPE,VALVE,1923,CORROSION,"CORROSION, EXTERNAL",1500,CRUDE OIL,400,No,No,6,950,880,BELOW GROUND,EXTERNAL,NO DATA,Yes,0
19860039,ASHLAND PIPELINE CO,19860304,IN,SPENCER, ,No, ,LINE PIPE,PIPE,1923,CORROSION,"CORROSION, EXTERNAL",500,CRUDE OIL,130,No,No,6,950,980,BELOW GROUND,EXTERNAL,NO DATA,Yes,0
19860040,MID - AMERICA PIPELINE CO (MAPCO),19860310,TX,GAINES, ,No, ,LINE PIPE,PIPE,1960,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,0,NATURAL GAS LIQUID,1250,No,No,6,0,0,NO DATA,NO DATA,DAMAGE BY OTHERS,Yes,0
19860041,ARCO PIPE LINE CO,19860223,IL,LIVINGSTON, ,No, ,TANK FARM,TANK,1980,OTHER,MALFUNCTION OF SWIVEL,0,CRUDE OIL,327,No,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
19860042,MARATHON PIPE LINE CO,19860303,IN,BOONE,ZIONSVILLE,No, ,LINE PIPE,PIPE,1939,CORROSION,"CORROSION, EXTERNAL",10000,GASOLINE,75,No,No,10,1000,575,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19860043,BUCKEYE PIPELINE CO LP,19860213,OH,HURON, ,No, ,LINE PIPE,PIPE,1968,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,574221,DIESEL FUEL,10107,No,No,16,1375,1010,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19860044,CHEVRON PIPELINE CO,19860214,UT,DUCHESNE,MYTON,No, ,LINE PIPE,PIPE,0,FAILED PIPE,DAMAGE BY NATURAL FORCES,0,CRUDE OIL,350,No,No,0,0,0,NO DATA,NO DATA,DAMAGE BY NATURAL FORCES,Yes,0
19860045,CHEVRON PIPELINE CO,19860310,TX,WINKLER, ,No, ,LINE PIPE,PIPE,1929,CORROSION,"CORROSION, INTERNAL",250,CRUDE OIL,1550,No,No,8,850,550,BELOW GROUND,INTERNAL,NO DATA,Null,0
19860046,PHILLIPS PIPE LINE CO,19860224,TX,HOCKLEY, ,No, ,LINE PIPE,PIPE,1948,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,43000,NATURAL GAS LIQUID,3763,No,No,12,1180,450,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19860047,MARATHON PIPE LINE CO,19860222,MI,MUSKEGON,MUSKEGON,No, ,LINE PIPE,GIRTH,1947,FAILED WELD, ,229600,GASOLINE,977,Yes,No,8,1400,45,BELOW GROUND,NO DATA,NO DATA,Null,0
19860048,MARATHON PIPE LINE CO,19860222,IL,MARION, ,No, ,TANK FARM,BOLTED FITTING,1953,OTHER,"10"" TANK VALVE FAILURE",3900,CRUDE OIL,1300,No,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
19860049,SOUTHERN PACIFIC PIPELINE CO,19860223,CA,SAN JOAQUIN,HOLT,No, ,LINE PIPE,PIPE,1957,OTHER, ,800000,DIESEL FUEL,500,No,No,10,1440,305,BELOW GROUND,NO DATA,NO DATA,Null,0
19860050,UNOCAL CORP,19860225,AL, , ,Yes,SHORT CREEK,LINE PIPE,PIPE,1930,CORROSION,"CORROSION, EXTERNAL",13000,TOLUENE,3,No,No,6,225,150,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19860051,FARMERS UNION CENTRAL EXCHANGE INC - CENEX PIPELIN,19860326,ND,MCKENZIE, ,No, ,LINE PIPE,PIPE,1960,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,20000,GASOLINE,802,No,No,8,1200,375,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19860052,COASTAL STATES CRUDE GATHERING CO,19860328,TX,WHARTON, ,No, ,LINE PIPE,PIPE,1962,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,30000,L. P. G.,1583,No,No,8,750,400,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19860053,CHEVRON PIPELINE CO,19860320,TX,HARDIN,SOUR LAKE,No, ,PUMPING STATION,SCRAPER TRAP,0,OTHER, ,0,CRUDE OIL,200,No,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
19860054,HYDROCARBON TRANSPORTATION INC,19860306,IA,CASS,MASSENA,No, ,PUMPING STATION,TANK,1969,OTHER,RELEASE ETHANE FRM FUEL,250000,NATURAL GAS LIQUID,1,Yes,No,0,0,0,NO DATA,NO DATA,NO DATA,Null,0
19860055,PORTAL PIPELINE CO,19860320,MT,SHERIDAN, ,No, ,LINE PIPE,PIPE,1965,FAILED PIPE, ,200,CRUDE OIL,10020,No,No,6,1140,0,BELOW GROUND,NO DATA,NO DATA,Null,0
19860056,SHELL PIPE LINE CORP,19860311,NM,LEA,JAL,No, ,LINE PIPE,PIPE,1930,CORROSION,"CORROSION, EXTERNAL",1100,CRUDE OIL,160,No,No,10,900,150,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19860057,TEXACO TRADING & TRANSPORTATION INC,19860316,CA,STANISLAUS, ,No, ,PUMPING STATION,BOLTED FITTING,1968,OTHER,FLANGE GASKET FAILED,5000,CRUDE OIL,200,No,No,20,940,0,BELOW GROUND,NO DATA,NO DATA,Yes,0
19860058,TEXACO TRADING & TRANSPORTATION INC,19860311,CA,LOS ANGELES,LONG BEACH,No, ,LINE PIPE,PIPE,0,CORROSION,"CORROSION, EXTERNAL",14000,CRUDE OIL,200,No,No,8,1256,160,BELOW GROUND,EXTERNAL,DAMAGE BY OTHERS,Yes,0
19860059,CONTINENTAL PIPELINE CO,19860420,KS,COWLEY, ,No, ,LINE PIPE,PIPE,1923,INCORRECT OPERATION BY OPERATOR PERSONNEL,DAMAGE BY OPERATOR OR ITS CONTRACTOR,3000,GASOLINE,500,No,No,6,1050,1180,NO DATA,NO DATA,DAMAGE BY OPERATOR OR ITS CONTRACTOR,Null,0
19860060,TOTAL PIPELINE CORP,19860113,OK,TILLMAN,DAVIDSON,No, ,LINE PIPE,PIPE,0,OTHER,"CORROSION, EXTERNAL",1800,CRUDE OIL,378,No,No,4,480,0,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19860061,CONTINENTAL PIPELINE CO,19860329,MT,BASIN,JUDITH,No, ,LINE PIPE,GIRTH,1961,OTHER,PINHOLE LEAK IN A WELD,23200,CONDENSATE - WATER,693,No,No,9,1850,1200,BELOW GROUND,NO DATA,NO DATA,Null,0
19860062,TESORO NATURAL GAS CO,19860112,TX,MAVERICK, ,No, ,LINE PIPE,PIPE,1960,FAILED PIPE, ,67000,CRUDE OIL,4111,No,No,8,1150,120,BELOW GROUND,NO DATA,NO DATA,Null,0
19860063,PHILLIPS PIPE LINE CO,19860404,NM, ,LEA,No, ,LINE PIPE,PIPE,1943,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,4400,NATURAL GAS LIQUID,446,No,No,4,1440,700,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19860064,PHILLIPS PIPE LINE CO,19860102,OK,KINGFISHER, ,No, ,LINE PIPE,NO DATA,1951,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,3900,CRUDE OIL,294,No,No,10,1140,80,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
19860065,SUN PIPELINE CO,19860402,NJ,MERCER, ,No, ,LINE PIPE,NO DATA,1956,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,0,FUEL OIL,395,No,No,14,1200,700,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Null,0
19860066,SHELL PIPE LINE CORP,19860410,TX,CRANE,MCCAMEY,No, ,LINE PIPE,PIPE,1920,CORROSION,"CORROSION, EXTERNAL",2250,CRUDE OIL,150,No,No,10,900,400,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19860067,SOUTHERN PACIFIC PIPELINE CO,19860222,CA,PLACER,YUBA,No, ,LINE PIPE,PIPE,1961,OTHER,DAMAGE BY NATURAL FORCES,0,GASOLINE,1,Yes,No,0,0,0,NO DATA,,DAMAGE BY NATURAL FORCES,Null,1
19860068,SHAMROCK PIPELINE CORP,19860407,TX,HANSFORD, ,No, ,LINE PIPE,PIPE,1957,CORROSION,"CORROSION, INTERNAL",3235,CRUDE OIL,60,No,No,6,1264,370,BELOW GROUND,INTERNAL,NO DATA,Null,0
19860069,PHILLIPS PIPE LINE CO,19860510,TX,UPTON,MIDKIFF,No, ,LINE PIPE,PIPE,1958,CORROSION,"CORROSION, EXTERNAL",4536,NATURAL GAS LIQUID,400,No,No,8,1100,560,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19860070,PHILLIPS PIPE LINE CO,19860508,TX,YOAKUM,PLAINS,No, ,LINE PIPE,PIPE,1942,CORROSION,"CORROSION, EXTERNAL",7212,NATURAL GAS LIQUID,636,No,No,8,1150,550,BELOW GROUND,EXTERNAL,NO DATA,Null,0
19860071,SOUTHERN PACIFIC PIPELINE CO,19860425,CA,KERN, ,No, ,LINE PIPE,PIPE,1964,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,150000,GASOLINE,1250,No,No,8,1377,565,BELOW GROUND,NO DATA,DAMAGE BY OTHERS,Yes,0
