REPORT_NUMBER,NAME,DATETIME_OF_INCIDENT,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,CLASS_TXT,LOSS,RECOV,SPUNIT,SPUNIT_TXT,TOTAL_BBLS_RELEASED,FATALITY_IND,INJURY_IND,SHUTDOWN_DUE_ACCIDENT_IND,IGNITE_IND,EXPLODE_IND,ON_OFF_SHORE,INCIDENT_AREA_TYPE,DEPTH_OF_COVER,ITEM_INVOLVED,NOMINAL_PIPE_SIZE_IN,PIPE_DIAMETER,INSTALLATION_YEAR,AGE_OF_FACILITY,RELEASE_TYPE,LEAK_TYPE,TOTAL_EST_COST,ACCIDENT_PRESSURE,DETECTED,WATER_CONTAM_IND,CAUSE,,,MPVST,SURNO,TELRN,TELDT,PPPRP,EMRPRP,ENVPRP,OPCPRP,OPCPRPO,PRODPRP,OPPRP,OOPPRP,OOPPRPO,SPILLED,CLASS,GEN_CAUSE,LINE_SEG,IFED,INTER,OFFAREA,BNUMB,OFFST,OCS,OPPROP,PIPEROW,HCA,HCADESC,SYSPRT,SYSPRT_TXT,SYSPRTO,FAIL_OC,FAIL_OCO,INC_PRS,MOP,LRTYPE,LRTYPEO,LEAK,PUNC_DIAM,RUPTURE,RUPTURE_TXT,RUPLN,PROPLN,UBLKVM,UBLKVA,UBLKVR,UBLKVC,DBLKVM,DBLKVA,DBLKVR,DBLKVC,SEGISO,VLVDIST,SEGCONF,INLINE,INLINE_TXT,DRHRMF,DRHRMFY,DRLRMF,DRLRMFY,DRUT,DRUTY,DRGEO,DRGEOY,DRCAL,DRCALY,DRCRK,DRCRKY,DRHARD,DRHARDY,DROTH,DROTHY,WALLTHK,SPEC,SMYS,SEAM,VALVE,MANU,MANYR,LOCLK,EFAT,NFAT,GPFAT,EINJ,NINJ,GPINJ,SHUTDAY,SHUTHR,SHUTMIN,EVAC,EVACNO,EVAC_REASON,EVAC_REASON_TEXT,STHH,STMN,IMPACT,REMEDIAL,RSURFACE,RGROUND,RSOIL,RVEG,RWILD,AMT_IN_WATER,OCEAN,SURFACE,GROUNDW,DRINK,DRINKSRC,DRINKSRC_TXT,COMP_BASED,DETECTED,DETECTEDO,DURLEAK_DAY,DURLEAK_HR,CAUSE,CAUSE_TXT,PIPE_COAT,PIPE_COAT_TXT,VIS_EXAM,VIS_EXAM_TXT,VIS_EXAMO,COR_CAUSE,COR_CAUSE_TXT,COR_CAUSEO,PROT,CPYR,PREV_DAM,PREV_DAM_YR,PREV_DAM_MO,PREV_DAM_UK,EARTH_MOVE,EARTH_MOVE_TXT,EARTH_MOVEO,FLOODS,FLOODS_TXT,FLOODSO,TEMPER,TEMPER_TXT,TEMPERO,THIRD_PARTY_GRP,THIRD_PARTY_GRP_TXT,THIRD_PARTY_TYPE,THIRD_PARTY_TYPE_TXT,THIRD_PARTY_TYPEO,EXCAV_TYPE,EXCAV_TYPE_TXT,EXCAV_ON,EXCAV_LAST_CONTACT,NOTIF,NOTIF_DATE,NOTIF_RCVD_TXT,MARKED,TEMP_MARK,TEMP_MARK_TXT,PERM_MARK,ACC_MARK,ACC_MARK_TXT,MKD_IN_TIME,FIRE_EXPLO,FIRE_EXPLO_TXT,PIPE_BODY,PIPE_BODY_TXT,PIPE_BODYO,COMPONENT,COMPONENT_TXT,COMPONENTO,JOINT,JOINT_TXT,JOINTO,BUTT,BUTT_TXT,BUTTO,FILLET,FILLET_TXT,FILLETO,PIPE_SEAM,PIPE_SEAM_TXT,PIPE_SEAMO,FAIL_TYPE,FAIL_TYPE_TXT,CONS_DEF,CONS_DEF_TXT,PIPE_DAMAGE,PRS_TEST,TEST_DATE,TEST_MED,TEST_MED_TXT,TEST_MEDO,TEST_TP,TEST_PRS,MALFUNC,MALFUNC_TXT,MALFUNCO,THREADS,THREADS_TXT,THREADSO,SEAL,SEAL_TXT,SEALO,IO_TYPE,IO_TYPE_TXT,IO_TYPEO,IO_DRUG,IO_ALCO,MISC,UNKNOWN,UNKNOWN_TXT,PNAME,PTEL,PEMAIL,PFAX,NARRATIVE
20030438,SUNOCO PIPELINE L.P.,11/6/2003,N41 10.65',W81 45.97',LOW SULPHUR DIESEL,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",8,8,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,OPEN DITCH,,VALVE,8,,1952,,OTHER,,15300,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,EXCAVATION DAMAGE,,,,1028+03,,,0,15000,0,0,,300,0,0,,YES,3,3,"8"" FOSTORIA - HUDSON",NO,INTERSTATE,,,,NO,NO,YES,YES,DRINKING WATER,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,8,,425,1200,4,FITTING BROKEN OFF MLV BODY,,,,,,,YES,NO,NO,NO,YES,NO,NO,NO,105454,52800,YES,1,YES,YES,2002,NO,,NO,,YES,2002,NO,,NO,,NO,,NO,,0.28,GRADE B,35000,SEAMLESS,GATE,WKM,1952,1,0,0,0,0,0,0,1,8,50,NO,,,,3,0,NO,NO,NO,NO,NO,NO,NO,,,,,,,,YES,3,,0,3,8,OPERATOR EXCAVATION DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAVID ,6109421924,DBMEADOWS@SUNOCOLOGISTICS.COM,6109421917,"OPERATOR PERSONNEL WERE EXCAVATING A BURIED MLV WITH AN EXCAVATOR IN PREPARATION FOR A MAINTENANCE PROJECT TO REPLACE THE MLV WITH A NEW VALVE IN AN ABOVE GROUND SETTING.  IN THE COURSE OF PERFORMING THE EXCAVATION ALONG SIDE OF THE PIPELINE AND MLV, A ROCK THAT APPARENTLY WAS INCLUDED IN THE BACKFILL DURING THE ORIGINAL LINE CONSTRUCTION WAS PUSHED UNDERGROUND INTO THE SIDE OF THE BURIED MLV BY THE BUCKET. THIS RESULTED IN THE BREAKING OFF OF 2 SMALL BLEEDER VALVES FROM THE MLV BODY.  PRODUCT WAS RELEASED AND MAINTENANCE PERSONNEL IMMEDIATELY CONTACTED CONTROL CENTER TO HAVE THE PIPELINE SYSTEM PRESSURE DRAINED OFF (THIS SECTION OF THE PIPELINE WAS NOT OPERATIONAL AT THE TIME OF THE ACCIDENT AND WAS UNDER STATIC PRESSURE).  MAINTENANCE PERSONNEL USED A PATCH HELD IN PLACE BY THE EXCAVATOR BUCKET TO REDUCE THE LEAK RATE.  LINE PRESSURE WAS REDUCED AND ADJACENT MLVS WERE CLOSED."
20030439,MARATHON ASHLAND PIPE LINE LLC,11/21/2003,42.28,-83.16,BUTANE,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,12,0,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,56,,,,EQUIPMENT,,,DETROIT LPG FACILITY,,,,0,0,0,0,,6,50,0,,YES,1,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JENNIFER RADER, MPL ENVIRONMENTAL, SAFETY & REGULATORY COMPL",4194214631,JERADER@MARATHONOIL.COM,4194213917,
20030440,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",11/10/2003,"46° 41' 36""","-92° 03' 10""",CRUDE OIL,CRUDE OIL,20,0,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,10000,,,,NATURAL FORCES,,,1096.95,,,,0,0,0,0,,15,0,9985,SOIL REMOVAL AND BLIND FLANGE INSTALLATION,YES,4,2,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMILY JURGENS,7153941547,EMILY.JURGENS@ENBRIDGE.COM,7153941500,
20030441,JAYHAWK PIPELINE LLC,11/14/2003,37 42 38,101 02 51,PETROLEUM CRUDE OIL,CRUDE OIL,2,0,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,380,,,,CORROSION,,,PLEASANT PRAIRIE STATION,,705356,11/14/2003,0,200,0,0,,60,0,120,LABOR,YES,4,1,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLEN R WILKERSON,6202419271,AWILKERSON@JAYHAWKPL.COM,6202419215,
20030442,JAYHAWK PIPELINE LLC,11/5/2003,38 03 48N,97 89 55W,PETROLEUM CRUDE OIL,CRUDE OIL,20,12,1,BARRELS,,NO,NO,NO,NO,NO,ONSHORE,INSIDE/UNDER BUILDING,,OTHER,,,,,,,2200,NO,A THIRD PARTY,NO,INCORRECT OPERATION,,,BURRTON STATION,,704496,11/5/2003,0,0,1000,0,,240,0,960,LABOR,YES,4,7,BURRTON STATION,NO,INTERSTATE,,,,NO,YES,NO,NO,,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,14,NEEDLE VALVE TO SUMP,0,150,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,6,0,0,0,0,0,0,,,,NO,,,,,,NO,YES,NO,NO,YES,NO,NO,,,,,,,,NO,6,,,8,23,INCORRECT OPERATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,FAILURE TO FOLLOW PROCEDURES,,,,,,,ALLEN R WILKERSON,6202419271,AWILKERSON@JAYHAWKPL.COM,6202419215,THE SPILL WAS CAUSED BY A 1/4 INCH BLEEDER VALVE ON THE STATION PUMP USED TO BLEED AIR OFF THE PUMP TO THE SUMP.  THE VALVE WAS INADVERTENTLY LEFT OPEN.  AFTER A HYDRO-TEST PROCEDURE WAS COMPLETED ON THE STATION DISCHARGE LINE AND THE SUMP RAN OVER.
20030443,EXXONMOBIL PIPELINE CO,11/8/2003,,,CRUDE OIL,CRUDE OIL,0,0,2,GALLONS,,NO,NO,NO,NO,NO,OFFSHORE,OFFSHORE PLATFORM,,OTHER,12.75,,,,N/A,,500,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",YES,EQUIPMENT,,,,,704786,11/8/2003,0,0,0,0,,0,0,500,REPLACEMENT OF FAULTY COUPON NIPPLE,YES,4,6,WEST DELTA 30J PLATFORM,NO,INTERSTATE,WEST DELTA,30,,YES,NO,NO,YES,WATER,6,"OFFSHORE PIPELINE, INCLUDING PLATFORM",,14,"THREADED FITTING, COUPON HOLDER",0,1440,3,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,2,NO,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.56,GRADE,35000,,,,,7,0,0,0,0,0,0,,,,NO,,,,0,0,NO,NO,NO,NO,NO,NO,NO,0,YES,,,NO,,,YES,3,,0,0,21,"THREADS STRIPPED, BROKEN PIPE COUPLING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NIPPLES,,,,,,,,,,,,,DAVID B. STERLING,7136562258,DAVID.B.STERLING@EXXONMOBIL.COM,7136568232,"ON 11/8/03, DURING A ROUTINE CORROSION COUPON PULLING OPERATION AT THE WEST DELTA 30J OFFSHORE PLATFORM, AN INTEGRAL VALVE IN A THREADED COUPON NIPPLE LEAKED, RELEASING 8.292 OUNCES OF OIL INTO THE WATER. THE OIL PRODUCED A SHEEN AND THEN DISSIPATED QUICKLY. THE THREADED FITTING WAS REPLACED IMMEDIATELY."
20030444,"TEPPCO CRUDE PIPELINE, L.P.",11/13/2003,N28 00.923,W97 26.876,NGL,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,5,0,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,61,,,,CORROSION,,,,,,,0,0,0,0,,60,0,1,NO CLEAN UP COSTS,YES,1,1,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JLYNN P STOUT,7137593614,JPSTOUT@TEPPCO.COM,7137593931,
20030445,CITGO REFINING & CHEMICAL CO. L.P.,11/4/2003,27.80419,-97.4356,GASOLINE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",2,2,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,5126,,,,CORROSION,,,,,704445,11/4/2003,0,0,0,0,,126,0,5000,SOIL REMEDIATION AND PIPING REPAIR COSTS,YES,3,1,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUAN M FLORES,3618445422,JFLORES@CITGO.COM,3618444358,
20030446,MAGELLAN PIPELINE COMPANY LLC,11/4/2003,45.97534534,-95.63839869,UNLEADED GASOLINE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",24,24,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,UNDER GROUND,9,BODY OF PIPE,6.62,,1946,,LEAK,PUNCTURE,48820,NO,A THIRD PARTY,NO,EXCAVATION DAMAGE,,,,763+12,704461,11/4/2003,2400,9120,23700,800,MATERIALS,800,7500,4500,"CONTRACTOR, LABOR, EQUIP",YES,3,3,#1 - 6 ALEXANDRIA TO GRAN,NO,INTERSTATE,,,,NO,NO,YES,NO,,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,1,,163,1062,1,,3,1,,,,,YES,NO,NO,NO,YES,NO,NO,NO,46477,46477,YES,2,NO,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.19,API 5L GRADE B,35000,ERW,BLOCK,REPUBLIC STEEL,1946,4,0,0,0,0,0,0,3,16,8,NO,,,,,,NO,YES,NO,NO,YES,NO,NO,,,,,,,,NO,6,,0,6,9,THIRD PARTY EXCAVATION DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,1,GENERAL PUBLIC,12,OTHER,PLOWING,1,OPEN TRENCH,,,NO,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENNETH L LYBARGER,9185730350,KENNETH.LYBARGER@MAGELLANLP.COM,9185731183,"A FARMER PUNCTURED THE LINE WHILE PLOWING.  THE LINE WAS IDLE AND BETWEEN SHIPMENTS AT THE TIME AND WAS SHUT IN UNDER MINIMAL PRESSURE.  THE FARMER NOTIFIED THE COUNTY SHERIFF, WHICH IN TURN NOTIFIED THE MAGELLAN OPERATIONS CONTROL CENTER, WHICH IMMEDIATELY DISPATCHED FIELD PERSONNEL WHO REPAIRED THE LINE, USING NEW PRE-TESTED PIPE.  THE LINE WAS RETURNED TO SERVICE FOLLOWING THE REPAIR.  CONTAMINATED SOIL WAS REMOVED AND REPLACED WITH FRESH SOIL.  THE CONTAMINATED SOIL WILL BE REMEDIATED IN ACCORDANCE WITH STATE EPA STANDARDS."
20030447,BP PIPELINE (NORTH AMERICA) INC.,10/22/2003,,,CRUDE OIL,CRUDE OIL,10,9,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,3500,,,,OTHER,,,,,,10/22/2003,0,0,3500,0,,0,0,0,,YES,4,8,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRIAN BURNS,7084799260,BRIAN.BURNS@BP.COM,7084799208,
20030448,PLANTATION PIPE LINE CO,11/12/2003,N 33 41.790,W 85 08.341,GASOLINE/WATER,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",25,25,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,800,,,,EQUIPMENT,,,,,,,0,0,0,0,,0,0,800,COMPANY & CONTRACT LABOR COSTS FOR CLEAN UP,YES,3,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUINTIN H FRAZIER,7707514240,QUINTIN _FRAZIER@KINDERMORGAN .COM,7707514230,
20030449,CITGO PIPELINE CO,7/25/2003,N30 8.816,W94 24.189,CRUDE,CRUDE OIL,500,500,1,BARRELS,,NO,NO,NO,NO,NO,ONSHORE,ABOVE GROUND,,OTHER,,,,,,,15317,NO,"REMOTE OPERATING PERSONNEL, INCLUDING CONTROLLERS",NO,INCORRECT OPERATION,,,,,651888,7/25/2003,0,0,0,0,,0,0,15317,"CLEAN UP, GARNER AND PWI TO PICK UP OIL",YES,4,7,N/A,NO,INTERSTATE,,,,NO,YES,NO,NO,,1,ABOVE GROUND STORAGE TANK,,14,OVERFILL TANK,0,0,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,3,0,0,0,0,0,0,,,,NO,,,,,,NO,YES,NO,NO,YES,NO,NO,,,,,,,,YES,4,,,1,23,INCORRECT OPERATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,FAILURE TO FOLLOW PROCEDURES,,0,0,,,,M D MOSELEY,4092873594,MMOSEL1@CITGO.COM,4092872276,"OVERFILL OF TANK, ALARMS FAILED TO ALERT OPERATOR."
20030450,BP PIPELINE (NORTH AMERICA) INC.,11/1/2003,35.94674,-96.76288,CRUDE OIL,CRUDE OIL,40,39,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,1500,,,,EQUIPMENT,,,CUSHING TERMINAL,,,,0,500,1000,0,,0,0,0,,YES,4,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWART CARSE,9182231101,CARSESF@BP.COM,9182252332,
20030451,CONOCOPHILLIPS,11/19/2003,30 10'11.45,93 20,GASOLINE/DIESEL,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",10,10,1,BARRELS,,NO,NO,NO,NO,NO,ONSHORE,ABOVE GROUND,0,METERING FACILITY,20,,1997,,,,1020,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,INCORRECT OPERATION,,,,470 +74,N/A,,0,1000,0,0,,20,0,0,,YES,3,7,PROVER LOOP,NO,INTERSTATE,,,,NO,YES,NO,YES,USA,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,9,,5,275,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.38,GRADE B,35000,ERW,PISTON,PECO,1997,3,0,0,0,0,0,0,,,,NO,,,,0,0,NO,NO,NO,NO,NO,NO,NO,,,,,,,,YES,3,,0,1,23,INCORRECT OPERATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,FAILURE TO FOLLOW PROCEDURES,,0,0,,,,RANDY W BEGGS,5807677101,RANDY.W.BEGGS@CONOCOPHILLIPS.COM,5807676947,"FACILITY TECHINICAN HAD OPENED THE PROVER LOOP FOR BALL INSPECTION AND CLEANING.  THE STATION OPERATOR OPENED A HEADER VALVE TO ENABLE THE REFINERY TO TEST A PLC.  PROPER LOTO HAD NOT BEEN PERFORMED ON THE PROVER VALVING.  AS A RESULT, #2 DIESEL BACK FLOWED FROM THE TANK OUT OF THE OPEN PROVER LOOP CLOSURER."
20030452,EXPLORER PIPELINE CO,11/18/2003,N 29 54 02,W 94 00 18,GASOLINE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",4,3,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,33150,,,,MATERIAL AND/OR WELD FAILURES,,,"28"" MP 0",,705651,11/18/2003,0,0,0,0,,150,10000,23000,"CLEAN-UP, REMEDIATION",YES,3,5,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROGER FLEMING,9184935112,RFLEMING@EXPL.COM,9184935148,
20030453,EXPLORER PIPELINE CO,11/21/2003,N 41 36 25,W 87 26 15,TRANSMIX,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",15,15,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,510,,,,CORROSION,,,"24"" MP 651",,NA,,0,0,0,0,,10,0,500,"RESPONSE, CLEAN-UP",YES,3,1,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROGER FLEMING,9184935112,RFLEMING@EXPL.COM,9184935148,
20030454,BUCKEYE PIPELINE CO LP,11/14/2003,41.24,-88.41,GASOLINE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",5,0,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,UNDER PAVEMENT,84,BODY OF PIPE,8.63,,,,LEAK,PINHOLE,428170,NO,AIR PATROL OR GROUND SURVEILLANCE,YES,CORROSION,,,57.67,,705373,11/14/2003,5000,73000,350000,0,,170,0,0,,YES,3,1,TY151CI,NO,INTERSTATE,,,,NO,NO,YES,NO,,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,1,,93,633,1,,1,,,,,,NO,NO,YES,NO,NO,NO,NO,YES,25238,25238,YES,2,NO,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.32,UNKNOWN,0,LAPWELD,,UNKNOWN,1905,2,0,0,0,0,0,0,4,0,40,NO,,,,,,YES,YES,NO,YES,YES,NO,NO,1,NO,NO,YES,NO,,,YES,5,,,,1,"CORROSION, EXTERNAL",2,COATED,1,LOCALIZED PITTING,,2,ATMOSPHERIC,,YES,1957,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DONALD E. HANKEY,4842324410,DHANKEY@BUCKEYE.COM,4842324545,"ON NOVEMBER 14, 2003 WHILE PATROLLING THE RIGHT-OF-WAY A BUCKEYE EMPLOYEE DETECTED A PETROLEUM ODOR AT A CASING VENT LOCATED AT GRAND RIDGE ROAD NEAR MAZON, ILLINOIS.   BUCKEYE PIPE LINE COMPANY¿S EMERGENCY RESPONSE PLAN WAS INITIATED IMMEDIATELY, THE PIPELINE WAS ALREADY SHUTDOWN.  THE DEFECTIVE SECTION OF PIPE WAS REPLACED WITH APPROXIMATELY 230 FEET OF NEW CERTIFIED REPLACEMENT PIPE.  AFTER REPLACEMENT WORK WAS COMPLETED A HYDROTEST WAS CONDUCTED ON THIS PIPELINE SECTION.   ALL REPAIRS AND RESTART ACTIVITIES ARE BEING CONDUCTED UNDER CLOSE CONSULTATION WITH THE OFFICE OF PIPELINE SAFETY.  RECOVERY AND CLEANUP ACTIVITIES ARE BEING PERFORMED UNDER THE SUPERVISION OF THE ILLINOIS ENVIRONMENTAL PROTECTION AGENCY AND THE GRUNDY COUNTY EMERGENCY MANAGEMENT AGENCY.   THE DAMAGED SECTION OF PIPE WAS SHIPPED TO KIEFNER & ASSOCIATED FOR ANALYSIS.   FOR THE FIELD ON THIS REPORT ¿YEAR PROTECTION STARTED¿ WE ENTERED 1957.  THE SYSTEM WOULD NOT LET ME LEAVE THIS FIELD BLANK AND WE ARE NOT SURE WHEN CATHODIC PROTECTION STARTED ON THIS PIPELINE SO WE ENTERED IN THE DATE OF THE OLDEST RECTIFIER.     THE FINAL REPORT STATES THAT - PITTING CORROSION OF THE OD SURFACE THAT PRODUCED AREAS OF INTERCONNECTED AND OVERLAPPING PITS CAUSED THIS LEAK.  THERE WERE NO INDICATIONS OF FATIGUE, MICROBIOLOGICALLY INFLUENCED CORROSION (MIC), OR ENVIRONMENTAL CRACKING - JUST PITTING CORROSION.     I HAD TO ENTER A ""0"" INTO THE SMYS FIELD SINCE IT WOULD NOT LET ME LEAVE IT BLANK AND WOULD NOT ACCEPT UNKNOWN."
